ward_name,ward_no,area_sqkm,log_area,perimeter_km,compactness,solidity,dist_center_km,local_ward_density_km,num_neighbors,perimeter_area_ratio,facility_count,predicted_facilities,residual,desert_score
Nalvadi Krishnaraja Wadior Park,47,3.4034640665166753,1.4823915190204027,9.777208418654437,0.4474054680979893,0.7918074192102875,10.876858069547232,2.2629482851273517,4,2.8727226812360804,12,13.815517694923013,-1.8155176949230132,1.8155176949230132
Chatrapati Shivaji,36,1.7182022317058314,0.9999707175621823,11.495166713048246,0.16340058026780008,0.5165508107282665,8.180708080261745,1.3673604889434894,8,6.690229183113004,2,5.693392489995679,-3.693392489995679,3.693392489995679
Jnana Bharathi,48,9.947678655241868,2.3931274388333224,23.505170806760546,0.2262584401398153,0.6262747902852249,9.35689332605532,1.7207021258341304,12,2.3628799865157126,14,15.855247169828331,-1.8552471698283313,1.8552471698283313
Rajarajeshwari Nagar,49,7.545025712435239,2.1453493256250793,18.50321021750106,0.27693409160756494,0.6952000343682381,10.160960586793307,2.666022020675503,6,2.4523720558042936,4,17.340062856514717,-13.340062856514717,13.340062856514717
C V Raman Nagar,117,3.0439749309850517,1.397228102074978,12.506721839809527,0.24454790897529155,0.519663370049989,7.232273993318778,1.704857717293923,8,4.108680959393534,13,13.332289228728715,-0.33228922872871536,0.33228922872871536
Lal Bahadur Nagar,118,3.776998096517482,1.5638123359395608,10.108125082482651,0.46453176329732315,0.8320151748910579,6.753594840042293,1.7325223991415661,5,2.6762325063924917,8,18.050868539343014,-10.050868539343014,10.050868539343014
Hanumanth Nagar,211,1.1627985202318982,0.7714029943345679,7.46156301956668,0.2624549159254407,0.6832583133736051,4.702836749853595,0.9703354778072841,6,6.416901027771012,10,9.663985562110199,0.33601443788980134,0.0
Mahalakshimpuram,52,0.9436410093347121,0.6645630230052995,6.462650908096893,0.2839195354801356,0.6886459631405814,7.0515288197185875,1.0396150952672794,5,6.848632948512067,5,5.882253357187236,-0.8822533571872357,0.8822533571872357
Vidyapeeta ward,216,0.8498322543130937,0.6150949616348836,5.075594126833358,0.41454272875053716,0.7564833519583763,6.103872809731678,1.1603815592541138,6,5.972465861437422,6,8.730250618130125,-2.7302506181301247,2.7302506181301247
Katriguppe,215,0.9682507196328999,0.6771451887030508,4.6215477158354785,0.569669292441056,0.8936482869139649,6.582747212244716,1.0762438186056682,6,4.773089884805539,9,10.176068934172006,-1.1760689341720063,1.1760689341720063
Anjanapura,224,11.21772912769346,2.5028881040434863,18.13590347289762,0.42858446177855,0.8031533164188286,12.966332718994725,3.090179650235862,4,1.616717899536824,2,17.642240819238115,-15.642240819238115,15.642240819238115
Shantala Nagar,181,4.132340579528296,1.6355618084501364,11.278399044549186,0.40823577362471536,0.7825228266466747,1.3608842402146692,1.6034225791526278,6,2.7293004599917583,31,24.10901769463971,6.890982305360289,0.0
Yediyur,200,1.151510094362614,0.7661699650645553,6.176880035375817,0.37926195549229846,0.704520935848703,4.574669622256549,1.2860393484258208,5,5.364156220267313,17,12.099490409503218,4.900509590496782,0.0
Jagajivanaram Nagar,167,0.6849375131389327,0.521728478926145,5.683481979219168,0.26645988862030123,0.6216854322394562,3.9411448134030085,0.8691027926590795,7,8.297810924638801,2,5.976732238318416,-3.976732238318416,3.976732238318416
Subramanyapura,218,8.713275912025143,2.273493600484888,18.276846115564627,0.3277848070707545,0.74307037937375,10.524722556151925,2.383554146514917,5,2.097586062934247,4,17.181610900873434,-13.181610900873434,13.181610900873434
Ibluru,229,3.420457127180409,1.4862431131808815,14.814091220273552,0.1958592044498085,0.5558691537720901,9.523205947238996,2.043013616636576,7,4.331026722292314,8,11.193233513779226,-3.1932335137792265,3.1932335137792265
Naganathapura,228,4.870831193182211,1.7699962240170415,11.13365694162214,0.4937842938443814,0.8734370242255418,13.211610135175102,3.102111796382869,2,2.2857817280151527,4,15.133521717246701,-11.133521717246701,11.133521717246701
Chamundi Nagara,71,0.6607859311023658,0.5072909427964987,6.109218960894298,0.2224842488691875,0.5762157950060699,5.943416678148355,0.9629315914526877,5,9.245382919552332,8,1.6513999966199577,6.348600003380042,0.0
Hulimavu,239,4.708780263834451,1.7420053868096896,12.801107574712828,0.3610964294271314,0.76454409591845,10.599363752878633,2.1431307774819737,5,2.7185612531192183,5,14.839029082173752,-9.839029082173752,9.839029082173752
Devaraj Urs Nagar,169,0.45792801480630774,0.37701625980676995,3.2362125945087743,0.5494560881906364,0.8762264224259863,5.133001771124522,0.798366836713913,5,7.06707711664597,9,5.848814844060687,3.151185155939313,0.0
Puttenahalli - Sarakki Lake,241,1.3405240977971187,0.8503748777088808,6.530868740128995,0.3949504190848289,0.7697705295725866,8.138710801151113,1.2037384940577263,4,4.871877164208508,12,9.012767373966728,2.987232626033272,0.0
Jogupalya,179,1.1768756176324549,0.7778906458624432,6.048112113765826,0.40429722751100955,0.7597163345520654,3.9646985843031257,1.4394569048472667,5,5.13912602415278,25,13.918925386561451,11.081074613438549,0.0
Domlur,178,2.2650294548040173,1.1832687840671867,7.9432762972120905,0.45111199970595106,0.7754132924667952,4.614400771413457,1.6592159628032337,5,3.506919647497205,27,17.64084386960149,9.35915613039851,0.0
RBI layout,222,1.834290379543286,1.0417915988082747,8.481304125350038,0.3204443946980468,0.6835408164409417,9.2506055935251,1.5219255458970076,7,4.6237521713774505,14,9.720594231287487,4.279405768712513,0.0
Attiguppe,161,1.4052934688809913,0.8776719205960836,7.425907339820323,0.3202416688216764,0.6561756343561874,7.1286435059245745,1.1523169822400114,6,5.284239558683378,25,9.260022146002216,15.739977853997784,0.0
Bapuji Nagar,160,0.4546456187858951,0.37476230998577187,3.335688594772538,0.5134662162899121,0.7925643851145204,5.744011982217218,0.8862522593485258,3,7.336898139874969,0,4.27655977356866,-4.27655977356866,4.27655977356866
Kanneshwara Rama,39,2.27041188188236,1.1849159347393388,12.467295280714604,0.18355660804192336,0.5799147602025636,9.713678834156703,1.799344752295695,6,5.491204208453216,4,7.772728158943312,-3.7727281589433117,3.7727281589433117
Padarayanapura,168,0.5078265156879878,0.41066922032062847,3.434449009479056,0.541017223997659,0.8486127289039996,4.641750039557514,0.8587288362564373,6,6.76303600418771,8,7.286698981494483,0.7133010185055166,0.0
Yelachenahalli,220,1.0154490319002598,0.7008420151879867,4.37606922109393,0.6663457432801702,0.9315050879141553,8.185201507590712,1.1768545755259587,6,4.309491745641607,3,9.031096414528635,-6.031096414528635,6.031096414528635
